repository,name,value
https://github.com/TimeMagazine/babynames,Has issues,1.0
https://github.com/TimeMagazine/babynames,Size of repo,11132.0
https://github.com/TimeMagazine/babynames,Has downloads,1.0
https://github.com/TimeMagazine/babynames,Active time in days,945.0
https://github.com/times/cardkit,Number of open issues,12.0
https://github.com/times/cardkit,Is a fork,0.0
https://github.com/times/cardkit,Has wiki,1.0
https://github.com/times/cardkit,Has issues,1.0
https://github.com/times/cardkit,Number of watchers,250.0
https://github.com/times/cardkit,Has downloads,1.0
https://github.com/times/cardkit,Active time in days,705.0
https://github.com/times/cardkit,Size of repo,20827.0
https://github.com/propublica/guides,Number of open issues,1.0
https://github.com/propublica/guides,Is a fork,0.0
https://github.com/propublica/guides,Has wiki,1.0
https://github.com/propublica/guides,Number of watchers,482.0
https://github.com/propublica/guides,Has issues,1.0
https://github.com/propublica/guides,Has downloads,1.0
https://github.com/propublica/guides,Active time in days,1133.0
https://github.com/propublica/guides,Size of repo,84.0
https://github.com/voxmedia/meme,Number of open issues,15.0
https://github.com/voxmedia/meme,Is a fork,0.0
https://github.com/voxmedia/meme,Has wiki,1.0
https://github.com/voxmedia/meme,Number of watchers,742.0
https://github.com/voxmedia/meme,Has issues,1.0
https://github.com/voxmedia/meme,Active time in days,698.0
https://github.com/voxmedia/meme,Has downloads,1.0
https://github.com/voxmedia/meme,Size of repo,4057.0
https://github.com/nprapps/app-template,Number of open issues,28.0
https://github.com/nprapps/app-template,Is a fork,0.0
https://github.com/nprapps/app-template,Has wiki,0.0
https://github.com/nprapps/app-template,Number of watchers,1111.0
https://github.com/nprapps/app-template,Has issues,1.0
https://github.com/nprapps/app-template,Size of repo,3238.0
https://github.com/nprapps/app-template,Has downloads,1.0
https://github.com/nprapps/app-template,Active time in days,1467.0
https://github.com/newsapps/beeswithmachineguns,Number of open issues,57.0
https://github.com/newsapps/beeswithmachineguns,Is a fork,0.0
https://github.com/newsapps/beeswithmachineguns,Has wiki,0.0
https://github.com/newsapps/beeswithmachineguns,Number of watchers,3506.0
https://github.com/newsapps/beeswithmachineguns,Has issues,1.0
https://github.com/newsapps/beeswithmachineguns,Size of repo,428.0
https://github.com/newsapps/beeswithmachineguns,Active time in days,2354.0
https://github.com/newsapps/beeswithmachineguns,Has downloads,1.0
https://github.com/NYTimes/objective-c-style-guide,Number of open issues,19.0
https://github.com/NYTimes/objective-c-style-guide,Is a fork,0.0
https://github.com/NYTimes/objective-c-style-guide,Has wiki,0.0
https://github.com/NYTimes/objective-c-style-guide,Number of watchers,4262.0
https://github.com/NYTimes/objective-c-style-guide,Has issues,1.0
https://github.com/NYTimes/objective-c-style-guide,Active time in days,1190.0
https://github.com/NYTimes/objective-c-style-guide,Has downloads,1.0
https://github.com/NYTimes/objective-c-style-guide,Size of repo,353.0
https://github.com/fivethirtyeight/data,Number of open issues,19.0
https://github.com/fivethirtyeight/data,Is a fork,0.0
https://github.com/fivethirtyeight/data,Has wiki,1.0
https://github.com/fivethirtyeight/data,Number of watchers,4673.0
https://github.com/fivethirtyeight/data,Has issues,1.0
https://github.com/fivethirtyeight/data,Has downloads,1.0
https://github.com/fivethirtyeight/data,Active time in days,1018.0
https://github.com/fivethirtyeight/data,Size of repo,47934.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Number of open issues,51.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Is a fork,0.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Has wiki,0.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Number of watchers,13973.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Has issues,1.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Has downloads,1.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Active time in days,1109.0
https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,Size of repo,5986.0
https://github.com/inaka/elvis,Number of open issues,50.0
https://github.com/inaka/elvis,Is a fork,0.0
https://github.com/inaka/elvis,Has wiki,1.0
https://github.com/inaka/elvis,Number of watchers,232.0
https://github.com/inaka/elvis,Has issues,1.0
https://github.com/inaka/elvis,Has downloads,1.0
https://github.com/inaka/elvis,Size of repo,643.0
https://github.com/inaka/elvis,Active time in days,889.0
https://github.com/ndmitchell/hlint,Number of open issues,66.0
https://github.com/ndmitchell/hlint,Is a fork,0.0
https://github.com/ndmitchell/hlint,Has wiki,1.0
https://github.com/ndmitchell/hlint,Number of watchers,360.0
https://github.com/ndmitchell/hlint,Has issues,1.0
https://github.com/ndmitchell/hlint,Has downloads,1.0
https://github.com/ndmitchell/hlint,Size of repo,2476.0
https://github.com/ndmitchell/hlint,Active time in days,1245.0
https://github.com/rodjek/puppet-lint,Number of open issues,47.0
https://github.com/rodjek/puppet-lint,Is a fork,0.0
https://github.com/rodjek/puppet-lint,Has wiki,1.0
https://github.com/rodjek/puppet-lint,Has issues,1.0
https://github.com/rodjek/puppet-lint,Number of watchers,612.0
https://github.com/rodjek/puppet-lint,Has downloads,1.0
https://github.com/rodjek/puppet-lint,Size of repo,1240.0
https://github.com/rodjek/puppet-lint,Active time in days,1965.0
https://github.com/clutchski/coffeelint,Number of open issues,62.0
https://github.com/clutchski/coffeelint,Is a fork,0.0
https://github.com/clutchski/coffeelint,Has wiki,0.0
